29	30	30	1	1	1	-1	1	2	12	15	5	20	18	23	26	35	3	38	-1	44	41	46	46	22	-1	-1	
1	1	1	1	1	1	-2	1	1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	
1	1	1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	
-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	-7	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	7	8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
7	7	7	7	7	7	7	7	7	7	7	7	9	7	7	7	7	7	7	7	7	7	7	7	7	7	7	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
7	7	7	7	7	7	7	7	7	7	7	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	
-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-8	-8	-8	-8	-8	-8	-8	-8	-8	13	-8	-8	-8	14	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	16	-8	-8	17	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	19	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	21	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	22	-11	-11	
-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	25	24	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	
